time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-10T10:34:40.490Z,46.206501,-122.3550034,9.45,2.33,md,20,68,0.01057,0.17,uw,uw61239802,2017-03-10T10:38:00.520Z,"33km NNE of Amboy, Washington",earthquake,0.54,0.93,0.17,6,automatic,uw,uw
2017-03-10T10:20:40.900Z,18.1221,-67.021,22,2.3,Md,5,93.6,0.08174669,0.25,pr,pr17069004,2017-03-10T11:43:26.349Z,"5km NNE of San German, Puerto Rico",earthquake,1.4,2.6,0,5,reviewed,pr,pr
2017-03-10T10:15:16.454Z,61.4872,-146.6171,26.2,1.3,ml,,,,0.7,ak,ak15457634,2017-03-10T10:20:15.872Z,"42km NNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-03-10T10:13:57.670Z,36.1173333,-117.865,1.76,1.5,ml,19,95,0.008214,0.1,ci,ci37823808,2017-03-10T10:17:39.312Z,"11km NE of Coso Junction, CA",earthquake,0.25,0.16,0.207,24,automatic,ci,ci
2017-03-10T10:04:16.204Z,61.7698,-149.9661,39.2,1.8,ml,,,,0.79,ak,ak15457625,2017-03-10T10:12:18.543Z,"4km NE of Willow, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-03-10T10:02:38.430Z,33.3693333,-116.8861667,18.12,1.77,ml,63,46,0.02516,0.2,ci,ci37823800,2017-03-10T14:29:11.530Z,"3km NW of Palomar Observatory, CA",earthquake,0.22,0.47,0.178,25,reviewed,ci,ci
2017-03-10T09:54:54.900Z,36.5296667,-83.4755,16.76,2.15,md,13,84,0.06088,0.03,se,se60035103,2017-03-10T13:40:31.500Z,"11km NE of Tazewell, Tennessee",earthquake,0.66,0.46,0.146,6,reviewed,se,se
2017-03-10T09:53:48.100Z,32.8945,-116.2681667,9.9,0.62,ml,12,123,0.1297,0.14,ci,ci37823792,2017-03-10T09:57:31.372Z,"26km ENE of Pine Valley, CA",earthquake,0.33,0.96,0.114,8,automatic,ci,ci
2017-03-10T09:52:24.635Z,59.8956,-153.2818,117.3,1.8,ml,,,,0.39,ak,ak15457370,2017-03-10T10:00:21.806Z,"72km SSW of Redoubt Volcano, Alaska",earthquake,,1.6,,,automatic,ak,ak
2017-03-10T09:29:22.660Z,19.4680004,-155.4393311,4.53,2.36,ml,56,43,0.05618,0.36,hv,hv61637026,2017-03-10T09:35:05.590Z,"21km W of Volcano, Hawaii",earthquake,0.38,2.71,0.27,12,automatic,hv,hv
2017-03-10T09:29:14.320Z,19.4753342,-155.4436646,6.42,2.3,ml,23,83,0.05553,0.16,hv,hv61637021,2017-03-10T09:34:56.270Z,"22km WNW of Volcano, Hawaii",earthquake,0.33,1.22,0.34,13,automatic,hv,hv
2017-03-10T09:07:30.990Z,36.6947,-116.344,1.5,0,ml,8,118.31,0.038,,nn,nn00581561,2017-03-10T09:09:28.426Z,"44km ESE of Beatty, Nevada",earthquake,,,,,automatic,nn,nn
2017-03-10T09:02:11.200Z,38.8253326,-122.7786636,1.52,0.88,md,17,45,0.008547,0.01,nc,nc72772346,2017-03-10T09:39:03.821Z,"4km W of Cobb, California",earthquake,0.25,0.36,0.08,6,automatic,nc,nc
2017-03-10T08:50:15.362Z,59.9903,-151.4731,53.2,1.4,ml,,,,0.1,ak,ak15457089,2017-03-10T08:53:49.267Z,"30km NNW of Fritz Creek, Alaska",earthquake,,2.1,,,automatic,ak,ak
2017-03-10T08:40:57.200Z,19.1124,-65.5895,52,2.7,Md,5,262.8,0.85160289,0.28,pr,pr17069003,2017-03-10T11:22:54.197Z,"80km NNE of Vieques, Puerto Rico",earthquake,4.6,13.5,0,4,reviewed,pr,pr
2017-03-10T08:39:17.700Z,19.1821,-65.6946,16,3.2,Md,4,309.6,0.9522142,0.12,pr,pr17069002,2017-03-10T14:03:59.040Z,"68km NNE of Vieques, Puerto Rico",earthquake,4.7,9.4,0,4,reviewed,pr,pr
2017-03-10T08:26:10.810Z,33.65,-116.608,21.87,0.48,ml,15,112,0.01185,0.3,ci,ci37823784,2017-03-10T08:29:52.261Z,"12km NNE of Anza, CA",earthquake,1.44,2.62,0.215,14,automatic,ci,ci
2017-03-10T08:25:17.340Z,56.7054,-156.2429,21.4,2.4,ml,,,,0.51,ak,ak15457072,2017-03-10T08:35:29.591Z,"105km NNW of Chirikof Island, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-03-10T08:16:55.950Z,33.494,-116.7896667,4.48,0.3,ml,17,83,0.08357,0.11,ci,ci37823776,2017-03-10T14:28:51.345Z,"9km NE of Aguanga, CA",earthquake,0.23,0.49,0.152,11,reviewed,ci,ci
2017-03-10T07:44:37.590Z,34.3123333,-117.4816667,11.24,2.07,ml,14,67,0.05365,0.18,ci,ci37823768,2017-03-10T11:56:24.256Z,"6km NNE of Lytle Creek, CA",earthquake,0.52,0.64,0.242,8,automatic,ci,ci
2017-03-10T07:43:49.340Z,34.3118333,-117.4765,10.7,2.45,ml,94,24,0.05795,0.22,ci,ci37823760,2017-03-10T08:15:11.862Z,"6km NNE of Lytle Creek, CA",earthquake,0.2,0.35,0.21,25,automatic,ci,ci
2017-03-10T07:42:46.900Z,36.3211667,-89.5365,10,2.51,md,42,27,0.04103,0.17,nm,nm60179831,2017-03-10T13:59:22.040Z,"7km NW of Ridgely, Tennessee",earthquake,0.26,0.36,0.104,34,reviewed,nm,nm
2017-03-10T07:40:29.740Z,19.2923336,-155.2766724,1.5,1.96,md,51,128,0.02936,0.2,hv,hv61636931,2017-03-10T08:38:20.259Z,"15km SSW of Volcano, Hawaii",earthquake,0.26,0.28,0.26,33,automatic,hv,hv
2017-03-10T07:38:14.520Z,33.497,-116.7881667,6.35,0.19,ml,26,39,0.08037,0.12,ci,ci37823752,2017-03-10T15:12:03.889Z,"9km NE of Aguanga, CA",earthquake,0.17,0.6,0.068,5,reviewed,ci,ci
2017-03-10T07:36:12.057Z,62.8641,-149.4233,51.1,3.2,ml,,,,0.73,ak,ak15456797,2017-03-10T13:47:05.040Z,"63km SSW of Cantwell, Alaska",earthquake,,1.1,,,automatic,ak,ak
2017-03-10T07:32:38.628Z,60.8823,-151.0546,19.5,1.5,ml,,,,0.48,ak,ak15456792,2017-03-10T07:37:55.804Z,"24km NNE of Nikiski, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-03-10T07:16:25.350Z,33.9658333,-116.7468333,15.34,0.6,ml,20,73,0.0857,0.14,ci,ci37823744,2017-03-10T14:29:23.048Z,"6km NE of Cabazon, CA",earthquake,0.3,0.71,0.102,15,reviewed,ci,ci
2017-03-10T07:10:34.480Z,37.324,-117.1258,25.5,1.2,ml,22,149.99,0.26,,nn,nn00581558,2017-03-10T07:12:37.771Z,"43km SSE of Goldfield, Nevada",earthquake,,,,,automatic,nn,nn
2017-03-10T07:03:35.150Z,37.3008,-117.1515,19.2,1.2,ml,12,198.48,0.347,,nn,nn00581557,2017-03-10T07:05:15.150Z,"45km S of Goldfield, Nevada",earthquake,,,,,automatic,nn,nn
2017-03-10T06:51:01.722Z,59.92,-152.2203,69.2,1.6,ml,,,,0.91,ak,ak15456781,2017-03-10T06:58:10.503Z,"27km NW of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-03-10T06:45:14.710Z,-42.4704,173.5735,27.1,4.2,mwr,,118,0.06,0.66,us,us10008833,2017-03-10T10:22:27.040Z,"11km SW of Kaikoura, New Zealand",earthquake,4.2,5.9,0.044,49,reviewed,us,us
